index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
634,Reshape,128,1,1,1,1,1,32,384,4,0
635,Transpose,32,384,4,1,1,1,32,4,384,0
636,FullyConnected,128,1,1,1,1,1,128,1,1,16384
637,Reshape,128,1,1,1,1,1,32,384,4,0
638,Transpose,32,384,4,1,1,1,32,4,384,0
639,Transpose,32,4,384,1,1,1,384,4,32,0
640,Reshape,32,4,384,1,1,1,32,4,384,0
641,OP_49,1,1,1,1,1,1,32,1,384,0
642,Reshape,384,4,32,1,1,1,384,4,32,0
643,OP_49,1,1,1,1,1,1,384,1,32,0
644,Reshape,384,1,32,1,1,1,384,1,1,0
645,Reshape,384,1,32,1,1,1,384,1,1,0
646,Reshape,384,1,32,1,1,1,384,1,1,0
647,Reshape,384,1,32,1,1,1,384,1,1,0
648,Transpose,384,1,1,1,1,1,32,1,1,0
649,FullyConnected,32,1,384,1,1,1,384,1,1,12288
650,Transpose,384,1,1,1,1,1,32,1,1,0
651,FullyConnected,32,1,384,1,1,1,384,1,1,12288
652,Transpose,384,1,1,1,1,1,32,1,1,0
653,FullyConnected,32,1,384,1,1,1,384,1,1,12288
654,Transpose,384,1,1,1,1,1,32,1,1,0
655,FullyConnected,32,1,384,1,1,1,384,1,1,12288
656,OP_83,384,1,1,1,1,1,384,4,384,0
657,Mul,384,4,384,1,1,1,384,4,384,0
658,Reshape,384,4,384,1,1,1,384,4,384,0
659,Mul,384,4,384,1,1,1,384,4,384,0
660,Add,384,4,384,1,1,1,384,4,384,0
661,Softmax,384,4,384,1,1,1,384,4,384,0
662,Reshape,384,4,384,1,1,1,384,4,384,0
663,OP_49,1,1,1,1,1,1,384,1,384,0
664,Reshape,32,4,384,1,1,1,32,4,384,0
665,OP_49,1,1,1,1,1,1,32,1,384,0
666,Reshape,32,1,384,1,1,1,32,1,1,0
667,Reshape,32,1,384,1,1,1,32,1,1,0
668,Reshape,32,1,384,1,1,1,32,1,1,0
669,Reshape,32,1,384,1,1,1,32,1,1,0
670,Transpose,32,1,1,1,1,1,384,1,1,0
671,FullyConnected,384,1,384,1,1,1,32,1,1,12288
672,Transpose,32,1,1,1,1,1,384,1,1,0
673,FullyConnected,384,1,384,1,1,1,32,1,1,12288
674,Transpose,32,1,1,1,1,1,384,1,1,0
675,FullyConnected,384,1,384,1,1,1,32,1,1,12288
676,Transpose,32,1,1,1,1,1,384,1,1,0
677,FullyConnected,384,1,384,1,1,1,32,1,1,12288
678,OP_83,32,1,1,1,1,1,32,4,384,0
679,Reshape,32,4,384,1,1,1,32,4,384,0
680,Transpose,32,4,384,1,1,1,32,384,4,0
681,Reshape,32,384,4,1,1,1,128,1,1,0
682,FullyConnected,128,1,1,1,1,1,128,1,1,16384
683,FullyConnected,512,1,384,1,1,1,128,1,1,65536
684,Add,128,1,1,1,1,1,128,1,1,0
685,Reshape,128,1,1,1,1,1,128,1,384,0
686,Add,128,1,384,1,1,1,128,1,384,0
687,FullyConnected,128,1,384,1,1,1,512,1,1,65536
688,FullyConnected,512,1,384,1,1,1,128,1,1,65536
689,Shortcut,128,1,384,1,0,0,128,1,384,49152
690,Add,128,1,384,1,1,1,128,1,384,0
691,FullyConnected,128,1,384,1,1,1,512,1,1,65536
692,FullyConnected,512,1,384,1,1,1,128,1,1,65536
693,Shortcut,128,1,384,1,0,0,128,1,384,49152
694,Add,128,1,384,1,1,1,128,1,384,0
695,FullyConnected,128,1,384,1,1,1,512,1,1,65536
696,FullyConnected,512,1,384,1,1,1,128,1,1,65536
697,Shortcut,128,1,384,1,0,0,128,1,384,49152
698,Add,128,1,384,1,1,1,128,1,384,0
699,FullyConnected,128,1,384,1,1,1,512,1,1,65536
700,FullyConnected,512,1,384,1,1,1,128,1,1,65536
701,Shortcut,128,1,384,1,0,0,128,1,384,49152
702,FullyConnected,128,1,384,1,1,1,512,1,1,65536
703,Shortcut,512,1,384,1,0,0,512,1,384,196608
704,Add,512,1,384,1,1,1,512,1,384,0
705,FullyConnected,512,1,384,1,1,1,128,1,1,65536
706,Reshape,128,1,1,1,1,1,32,384,4,0
707,Transpose,32,384,4,1,1,1,32,4,384,0
708,FullyConnected,512,1,384,1,1,1,128,1,1,65536
