index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
391,Sigmoid,68,1,1,1,1,1,68,1,1,0
392,Mul,68,1,1,1,1,1,68,1,1,0
393,Conv2D,68,1,1,1,1,1,1632,1,1,110976
394,Sigmoid,1632,1,1,1,1,1,1632,1,1,0
395,Mul,1632,1,1,1,1,1,1632,12,12,0
396,Conv2D,1632,12,12,1,1,1,272,12,12,63922176
397,Shortcut,272,12,12,1,0,0,272,12,12,39168
398,Conv2D,272,12,12,1,1,1,1632,12,12,63922176
399,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
400,Mul,1632,12,12,1,1,1,1632,12,12,0
401,DepthwiseConv2D,1632,12,12,1,5,5,1632,12,12,5875200
402,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
403,Mul,1632,12,12,1,1,1,1632,12,12,0
404,Mean,1632,12,12,1,1,1,1632,1,1,0
405,Conv2D,1632,1,1,1,1,1,68,1,1,110976
406,Sigmoid,68,1,1,1,1,1,68,1,1,0
407,Mul,68,1,1,1,1,1,68,1,1,0
408,Conv2D,68,1,1,1,1,1,1632,1,1,110976
409,Sigmoid,1632,1,1,1,1,1,1632,1,1,0
410,Mul,1632,1,1,1,1,1,1632,12,12,0
411,Conv2D,1632,12,12,1,1,1,272,12,12,63922176
412,Shortcut,272,12,12,1,0,0,272,12,12,39168
413,Conv2D,272,12,12,1,1,1,1632,12,12,63922176
414,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
415,Mul,1632,12,12,1,1,1,1632,12,12,0
416,DepthwiseConv2D,1632,12,12,1,5,5,1632,12,12,5875200
417,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
418,Mul,1632,12,12,1,1,1,1632,12,12,0
419,Mean,1632,12,12,1,1,1,1632,1,1,0
420,Conv2D,1632,1,1,1,1,1,68,1,1,110976
421,Sigmoid,68,1,1,1,1,1,68,1,1,0
422,Mul,68,1,1,1,1,1,68,1,1,0
423,Conv2D,68,1,1,1,1,1,1632,1,1,110976
424,Sigmoid,1632,1,1,1,1,1,1632,1,1,0
425,Mul,1632,1,1,1,1,1,1632,12,12,0
426,Conv2D,1632,12,12,1,1,1,272,12,12,63922176
427,Shortcut,272,12,12,1,0,0,272,12,12,39168
428,Conv2D,272,12,12,1,1,1,1632,12,12,63922176
429,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
430,Mul,1632,12,12,1,1,1,1632,12,12,0
431,DepthwiseConv2D,1632,12,12,1,5,5,1632,12,12,5875200
432,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
433,Mul,1632,12,12,1,1,1,1632,12,12,0
434,Mean,1632,12,12,1,1,1,1632,1,1,0
435,Conv2D,1632,1,1,1,1,1,68,1,1,110976
436,Sigmoid,68,1,1,1,1,1,68,1,1,0
437,Mul,68,1,1,1,1,1,68,1,1,0
438,Conv2D,68,1,1,1,1,1,1632,1,1,110976
439,Sigmoid,1632,1,1,1,1,1,1632,1,1,0
440,Mul,1632,1,1,1,1,1,1632,12,12,0
441,Conv2D,1632,12,12,1,1,1,272,12,12,63922176
442,Shortcut,272,12,12,1,0,0,272,12,12,39168
443,Conv2D,272,12,12,1,1,1,1632,12,12,63922176
444,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
445,Mul,1632,12,12,1,1,1,1632,12,12,0
446,DepthwiseConv2D,1632,12,12,1,3,3,1632,12,12,2115072
447,Sigmoid,1632,12,12,1,1,1,1632,12,12,0
448,Mul,1632,12,12,1,1,1,1632,12,12,0
449,Mean,1632,12,12,1,1,1,1632,1,1,0
450,Conv2D,1632,1,1,1,1,1,68,1,1,110976
451,Sigmoid,68,1,1,1,1,1,68,1,1,0
452,Mul,68,1,1,1,1,1,68,1,1,0
453,Conv2D,68,1,1,1,1,1,1632,1,1,110976
454,Sigmoid,1632,1,1,1,1,1,1632,1,1,0
455,Mul,1632,1,1,1,1,1,1632,12,12,0
456,Conv2D,1632,12,12,1,1,1,448,12,12,105283584
457,Conv2D,448,12,12,1,1,1,2688,12,12,173408256
458,Sigmoid,2688,12,12,1,1,1,2688,12,12,0
459,Mul,2688,12,12,1,1,1,2688,12,12,0
460,DepthwiseConv2D,2688,12,12,1,3,3,2688,12,12,3483648
461,Sigmoid,2688,12,12,1,1,1,2688,12,12,0
462,Mul,2688,12,12,1,1,1,2688,12,12,0
463,Mean,2688,12,12,1,1,1,2688,1,1,0
464,Conv2D,2688,1,1,1,1,1,112,1,1,301056
465,Sigmoid,112,1,1,1,1,1,112,1,1,0
466,Mul,112,1,1,1,1,1,112,1,1,0
467,Conv2D,112,1,1,1,1,1,2688,1,1,301056
468,Sigmoid,2688,1,1,1,1,1,2688,1,1,0
469,Mul,2688,1,1,1,1,1,2688,12,12,0
470,Conv2D,2688,12,12,1,1,1,448,12,12,173408256
471,Shortcut,448,12,12,1,0,0,448,12,12,64512
472,Conv2D,448,12,12,1,1,1,1792,12,12,115605504
473,Sigmoid,1792,12,12,1,1,1,1792,12,12,0
474,Mul,1792,12,12,1,1,1,1792,12,12,0
475,Mean,1792,12,12,1,1,1,1792,1,1,0
476,FullyConnected,1792,1,1,1,1,1,1000,1,1,1792000
477,Softmax,1000,1,1,1,1,1,1000,1,1,0
478,OP_114,1000,1,1,1,1,1,1000,1,1,0
