index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
971,Add,1024,1,1,1,1,1,1024,1,1,0
972,OP_49,1,1,1,1,1,1,256,1,1,0
973,Sigmoid,256,1,1,1,1,1,256,1,1,0
974,Sigmoid,256,1,1,1,1,1,256,1,1,0
975,Sigmoid,256,1,1,1,1,1,256,1,1,0
976,Tanh,256,1,1,1,1,1,256,1,1,0
977,Mul,256,1,1,1,1,1,256,1,1,0
978,Mul,256,1,1,1,1,1,256,1,1,0
979,Add,256,1,1,1,1,1,256,1,1,0
980,Tanh,256,1,1,1,1,1,256,1,1,0
981,Mul,256,1,1,1,1,1,256,1,1,0
982,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
983,Add,1024,1,1,1,1,1,1024,1,1,0
984,Add,1024,1,1,1,1,1,1024,1,1,0
985,OP_49,1,1,1,1,1,1,256,1,1,0
986,Sigmoid,256,1,1,1,1,1,256,1,1,0
987,Sigmoid,256,1,1,1,1,1,256,1,1,0
988,Sigmoid,256,1,1,1,1,1,256,1,1,0
989,Tanh,256,1,1,1,1,1,256,1,1,0
990,Mul,256,1,1,1,1,1,256,1,1,0
991,Mul,256,1,1,1,1,1,256,1,1,0
992,Add,256,1,1,1,1,1,256,1,1,0
993,Tanh,256,1,1,1,1,1,256,1,1,0
994,Mul,256,1,1,1,1,1,256,1,1,0
995,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
996,Add,1024,1,1,1,1,1,1024,1,1,0
997,Add,1024,1,1,1,1,1,1024,1,1,0
998,OP_49,1,1,1,1,1,1,256,1,1,0
999,Sigmoid,256,1,1,1,1,1,256,1,1,0
1000,Sigmoid,256,1,1,1,1,1,256,1,1,0
1001,Sigmoid,256,1,1,1,1,1,256,1,1,0
1002,Tanh,256,1,1,1,1,1,256,1,1,0
1003,Mul,256,1,1,1,1,1,256,1,1,0
1004,Mul,256,1,1,1,1,1,256,1,1,0
1005,Add,256,1,1,1,1,1,256,1,1,0
1006,Tanh,256,1,1,1,1,1,256,1,1,0
1007,Mul,256,1,1,1,1,1,256,1,1,0
1008,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1009,Add,1024,1,1,1,1,1,1024,1,1,0
1010,Add,1024,1,1,1,1,1,1024,1,1,0
1011,OP_49,1,1,1,1,1,1,256,1,1,0
1012,Sigmoid,256,1,1,1,1,1,256,1,1,0
1013,Sigmoid,256,1,1,1,1,1,256,1,1,0
1014,Sigmoid,256,1,1,1,1,1,256,1,1,0
1015,Tanh,256,1,1,1,1,1,256,1,1,0
1016,Mul,256,1,1,1,1,1,256,1,1,0
1017,Mul,256,1,1,1,1,1,256,1,1,0
1018,Add,256,1,1,1,1,1,256,1,1,0
1019,Tanh,256,1,1,1,1,1,256,1,1,0
1020,Mul,256,1,1,1,1,1,256,1,1,0
1021,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1022,Add,1024,1,1,1,1,1,1024,1,1,0
1023,Add,1024,1,1,1,1,1,1024,1,1,0
1024,OP_49,1,1,1,1,1,1,256,1,1,0
1025,Sigmoid,256,1,1,1,1,1,256,1,1,0
1026,Sigmoid,256,1,1,1,1,1,256,1,1,0
1027,Sigmoid,256,1,1,1,1,1,256,1,1,0
1028,Tanh,256,1,1,1,1,1,256,1,1,0
1029,Mul,256,1,1,1,1,1,256,1,1,0
1030,Mul,256,1,1,1,1,1,256,1,1,0
1031,Add,256,1,1,1,1,1,256,1,1,0
1032,Tanh,256,1,1,1,1,1,256,1,1,0
1033,Mul,256,1,1,1,1,1,256,1,1,0
1034,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1035,Add,1024,1,1,1,1,1,1024,1,1,0
1036,Add,1024,1,1,1,1,1,1024,1,1,0
1037,OP_49,1,1,1,1,1,1,256,1,1,0
1038,Sigmoid,256,1,1,1,1,1,256,1,1,0
1039,Sigmoid,256,1,1,1,1,1,256,1,1,0
1040,Sigmoid,256,1,1,1,1,1,256,1,1,0
1041,Tanh,256,1,1,1,1,1,256,1,1,0
1042,Mul,256,1,1,1,1,1,256,1,1,0
1043,Mul,256,1,1,1,1,1,256,1,1,0
1044,Add,256,1,1,1,1,1,256,1,1,0
1045,Tanh,256,1,1,1,1,1,256,1,1,0
1046,Mul,256,1,1,1,1,1,256,1,1,0
1047,FullyConnected,256,1,1,1,1,1,1024,1,1,262144
1048,Add,1024,1,1,1,1,1,1024,1,1,0
1049,Add,1024,1,1,1,1,1,1024,1,1,0
1050,OP_49,1,1,1,1,1,1,256,1,1,0
1051,Sigmoid,256,1,1,1,1,1,256,1,1,0
1052,Sigmoid,256,1,1,1,1,1,256,1,1,0
1053,Sigmoid,256,1,1,1,1,1,256,1,1,0
